path,family,sha256,provenance_status,historical_archive_status,public_port_status,reuse_original_in_public_build,reason
gfx/c_shooting.gif,graphics,c364927af34bd1fca3163d7d92c7af5a6d8fddb55488e7c8c600f9136c1ac6dc,UNRESOLVED,PRESERVE_UNCHANGED_IN_REFERENCE,REPLACE_CLEAN_ROOM,NO,"No per-file author/source/license metadata found; some GIFs have a GIMP creation comment, which identifies tooling but not copyright provenance."
gfx/c_thinking.gif,graphics,1d5e7a6427969c3b368740d466f8ba86af45c3aac4c9c6f0bc1e3ef52e60de4f,UNRESOLVED,PRESERVE_UNCHANGED_IN_REFERENCE,REPLACE_CLEAN_ROOM,NO,"No per-file author/source/license metadata found; some GIFs have a GIMP creation comment, which identifies tooling but not copyright provenance."
gfx/cpktblue.gif,graphics,380618653dbc3b2679f165b68aae5c97420d074e2c29ed22ad691dc96842e429,UNRESOLVED,PRESERVE_UNCHANGED_IN_REFERENCE,REPLACE_CLEAN_ROOM,NO,"No per-file author/source/license metadata found; some GIFs have a GIMP creation comment, which identifies tooling but not copyright provenance."
gfx/cpktred.gif,graphics,334fff40705238f818795398d22d39ee2f717784c1b1454bc7391e2ae66516bb,UNRESOLVED,PRESERVE_UNCHANGED_IN_REFERENCE,REPLACE_CLEAN_ROOM,NO,"No per-file author/source/license metadata found; some GIFs have a GIMP creation comment, which identifies tooling but not copyright provenance."
gfx/earth.gif,graphics,113397c3f345b6571045841c7c8e8132351a77fbcf4b4c7cc22f97fe1f7cb6b4,UNRESOLVED_THIRD_PARTY_RISK_HIGH,PRESERVE_UNCHANGED_IN_REFERENCE,REPLACE_CLEAN_ROOM,NO,"Photographic/texture-like planetary image; no source, author, or per-file license identified in upstream archive or project docs."
gfx/explosionanim.gif,graphics,d0df47ea2cf5823c50e02fdebaeb851722af582d9d7ca73e6422f58c1a913876,UNRESOLVED,PRESERVE_UNCHANGED_IN_REFERENCE,REPLACE_CLEAN_ROOM,NO,"No per-file author/source/license metadata found; some GIFs have a GIMP creation comment, which identifies tooling but not copyright provenance."
gfx/extra.gif,graphics,50d6d18b57937b3f590ada6a731802fa61dbd9aacb08a5b14a1b5d892023d8e6,UNRESOLVED,PRESERVE_UNCHANGED_IN_REFERENCE,REPLACE_CLEAN_ROOM,NO,"No per-file author/source/license metadata found; some GIFs have a GIMP creation comment, which identifies tooling but not copyright provenance."
gfx/extra0.gif,graphics,be741647ee938049ddea50e15c474ada93ca688b2670343501e3e19cd4718558,UNRESOLVED,PRESERVE_UNCHANGED_IN_REFERENCE,REPLACE_CLEAN_ROOM,NO,"No per-file author/source/license metadata found; some GIFs have a GIMP creation comment, which identifies tooling but not copyright provenance."
gfx/extra1.gif,graphics,af59c98ab8aa801424415bbd6c97671c159f278ec539fe3a435a9a5a6db63d5a,UNRESOLVED,PRESERVE_UNCHANGED_IN_REFERENCE,REPLACE_CLEAN_ROOM,NO,"No per-file author/source/license metadata found; some GIFs have a GIMP creation comment, which identifies tooling but not copyright provenance."
gfx/extra2.gif,graphics,a013032cf3077863a638b19a807900edfe8f3a070c108e0ed395ce7f9e75ceb9,UNRESOLVED,PRESERVE_UNCHANGED_IN_REFERENCE,REPLACE_CLEAN_ROOM,NO,"No per-file author/source/license metadata found; some GIFs have a GIMP creation comment, which identifies tooling but not copyright provenance."
